"","level","Overall"
"n","","  948"
"age (mean (SD))","","44.85 (15.94)"
"gender (%)","female","  491 (51.8) "
"","male","  457 (48.2) "
"race (%)","black","  126 (13.3) "
"","east_asian","   42 ( 4.4) "
"","hispanic_latinx","   37 ( 3.9) "
"","middle_eastern","    3 ( 0.3) "
"","mixed","   15 ( 1.6) "
"","native_american","    4 ( 0.4) "
"","other","    9 ( 0.9) "
"","south_asian","   20 ( 2.1) "
"","white","  692 (73.0) "
"personal_income (%)","<$20,000","  183 (19.3) "
"",">$200,000","   29 ( 3.1) "
"","$100,000 to $149,999","   88 ( 9.3) "
"","$150,000 to $199,999","   35 ( 3.7) "
"","$20,000 to $34,999","  161 (17.0) "
"","$35,000 to $49,999","  156 (16.5) "
"","$50,000 to $74,999","  179 (18.9) "
"","$75,000 to $99,999","  117 (12.3) "
"education (mean (SD))","","15.48 (2.59)"
